try_id,cand_id,sigma,g_n,i,delta,kappa_min,kappa_max,r_star,d_star,omega_star,rF,psi,phi2,lambda_star,f_star,Z_star,phi1_fixed,e_implied,stable,RH_ok,has_complex,hopf_val,ok,reason,n_roots,rF_root_med,rF_root_p25,rF_root_p75,has_hopf,e_star,ok_flag,gate_interior,gate_hopf,gate_ok,gate_reason,score_stage4,rank_stage4
492,5,2.5,0.07,0.025,0.06,0.02,0.45,0.12973326797683704,0.00952614368439154,0.6754286764657976,0.0325,15,2.5,0.8113029964002764,7.968404905712333,1,2.7200724390335385,0.9337986604880568,TRUE,TRUE,TRUE,0.00109334666269021,TRUE,ok,3,0.112212,0.0991485,0.1357915,TRUE,0.9337986604880568,TRUE,TRUE,TRUE,TRUE,pass,2.441308397934487,14
516,7,2.5,0.07,0.035,0.06,0.02,0.45,0.12973326797683704,0.00952614368439154,0.6753334150289537,0.095,20,1.5,0.6670039543639891,3.712296453758572,0.9999989582221378,1.648873201524839,0.9339702021411062,TRUE,TRUE,TRUE,7.723941447255293e-4,TRUE,ok,4,0.1332555,0.11156025,0.158202,TRUE,0.9339702021411062,TRUE,TRUE,TRUE,TRUE,pass,2.441155837502076,15
516,7,2.5,0.07,0.035,0.06,0.02,0.45,0.12973326797683704,0.00952614368439154,0.6753334150289537,0.02,15,2.5,0.8383495730379544,9.61173103690475,1,2.7189314365386967,0.934190530097926,TRUE,TRUE,TRUE,0.00153046944222759,TRUE,ok,3,0.112212,0.0995585,0.135789,TRUE,0.934190530097926,TRUE,TRUE,TRUE,TRUE,pass,2.4407151815884367,16
537,9,2.5,0.08,0.025,0.05,0.02,0.45,0.12973326797683707,0.0083353757238426,0.6754584456648113,0.06999999999999999,15,1.5,0.710126606503378,3.9727277238044554,0.9999998690571577,1.648952595819719,0.9339260616040812,TRUE,TRUE,TRUE,6.513232338263217e-4,TRUE,ok,4,0.1251595,0.0967445,0.15860875,TRUE,0.9339260616040812,TRUE,TRUE,TRUE,TRUE,pass,2.440398673324136,17
492,5,2.5,0.07,0.025,0.06,0.02,0.45,0.12973326797683704,0.00952614368439154,0.6754286764657976,0.0325,10,1,0.7255842061040096,4.900405690098263,0.9999999999224,1.1130730292061346,0.934350193234085,TRUE,TRUE,TRUE,4.476650739952612e-4,TRUE,ok,3,0.105071,0.0868405,0.1342895,TRUE,0.934350193234085,TRUE,TRUE,TRUE,TRUE,pass,2.4402053324424307,18
492,5,2.5,0.07,0.025,0.06,0.02,0.45,0.12973326797683704,0.00952614368439154,0.6754286764657976,0.02,15,1.5,0.8383495730379544,9.61173103690475,1,1.6480092798825356,0.9344607574720488,TRUE,TRUE,TRUE,6.628952206861709e-4,TRUE,ok,3,0.112284,0.099816,0.13424999999999998,TRUE,0.9344607574720488,TRUE,TRUE,TRUE,TRUE,pass,2.439984203966503,19
549,11,2.5,0.08,0.03,0.05,0.02,0.45,0.129733267976837,0.0083353757238426,0.6754167687861922,0.05749999999999999,15,1.5,0.7471555690383841,4.792024353166287,0.9999999998135536,1.6481451871804895,0.9343837009619492,TRUE,TRUE,TRUE,8.021605489208147e-4,TRUE,ok,4,0.125158,0.09684825,0.15811225,TRUE,0.9343837009619492,TRUE,TRUE,TRUE,TRUE,pass,2.4395667483656385,20
537,9,2.5,0.08,0.025,0.05,0.02,0.45,0.12973326797683707,0.0083353757238426,0.6754584456648113,0.06999999999999999,20,3,0.7675744214939849,5.355474360649366,0.9999999999979444,3.252927072858438,0.9345429306911884,TRUE,TRUE,TRUE,0.00131969977038347,TRUE,ok,4,0.1281245,0.10409,0.1565595,TRUE,0.9345429306911884,TRUE,TRUE,TRUE,TRUE,pass,2.439164935149922,21
516,7,2.5,0.07,0.035,0.06,0.02,0.45,0.12973326797683704,0.00952614368439154,0.6753334150289537,0.05749999999999999,10,3,0.6731204820833798,3.816439788816093,0.9999995471604248,3.249784534610808,0.9354462146966128,TRUE,TRUE,TRUE,0.00165735596087106,TRUE,ok,3,0.104846,0.085315,0.1391585,TRUE,0.9354462146966128,TRUE,TRUE,TRUE,TRUE,pass,2.4382038123910625,22
492,5,2.5,0.07,0.025,0.06,0.02,0.45,0.12973326797683704,0.00952614368439154,0.6754286764657976,0.08249999999999999,15,3,0.6700694132326794,3.7640079561559263,0.9999993111714858,3.249992300756276,0.9353861954710008,TRUE,TRUE,TRUE,9.73021406958638e-4,TRUE,ok,3,0.112195,0.09893,0.13635250000000002,TRUE,0.9353861954710008,TRUE,TRUE,TRUE,TRUE,pass,2.438133327968599,23
516,7,2.5,0.07,0.035,0.06,0.02,0.45,0.12973326797683704,0.00952614368439154,0.6753334150289537,0.02,10,3,0.7497599965864213,5.552887127134718,0.9999999999995804,3.2495490282075483,0.9355144278821992,TRUE,TRUE,TRUE,0.00183174271934372,TRUE,ok,3,0.104846,0.085315,0.1391585,TRUE,0.9355144278821992,TRUE,TRUE,TRUE,TRUE,pass,2.43806738601989,24
573,15,2.5,0.08,0.04,0.05,0.02,0.45,0.12973326797683704,0.0083353757238426,0.6753334150289537,0.05749999999999999,20,2,0.8091760696193299,6.876565197493313,1,2.1812319025164473,0.9352513126396552,TRUE,TRUE,TRUE,0.00141668039289617,TRUE,ok,4,0.1271495,0.104504,0.15314875,TRUE,0.9352513126396552,TRUE,TRUE,TRUE,TRUE,pass,2.4379982325247034,25
573,15,2.5,0.08,0.04,0.05,0.02,0.45,0.12973326797683704,0.0083353757238426,0.6753334150289537,0.06999999999999999,20,2,0.7675744214939847,5.3554743606493584,0.9999999999979444,2.180039309873246,0.9357629427858808,TRUE,TRUE,TRUE,0.00141667961115259,TRUE,ok,4,0.1271495,0.104504,0.15314875,TRUE,0.9357629427858808,TRUE,TRUE,TRUE,TRUE,pass,2.4369749722322522,26
528,8,2.5,0.07,0.04,0.06,0.02,0.45,0.129733267976837,0.00952614368439154,0.6752857843105318,0.095,20,1,0.667003954363989,3.71229645375857,0.9999989582221378,1.1107632759725676,0.9362921701849842,TRUE,TRUE,TRUE,6.457154861840876e-4,TRUE,ok,4,0.132375,0.111856,0.15579875,TRUE,0.9362921701849842,TRUE,TRUE,TRUE,TRUE,pass,2.436607162851164,27
504,6,2.5,0.07,0.03,0.06,0.02,0.45,0.12973326797683704,0.00952614368439154,0.6753810457473757,0.045,20,0.5,0.8448367152071128,10.091067992104884,1,0.576768610533327,0.9362506733864596,TRUE,TRUE,TRUE,2.789128643076594e-4,TRUE,ok,4,0.1309475,0.1121855,0.15277475,TRUE,0.9362506733864596,TRUE,TRUE,TRUE,TRUE,pass,2.4364996335745253,28
573,15,2.5,0.08,0.04,0.05,0.02,0.45,0.12973326797683704,0.0083353757238426,0.6753334150289537,0.06999999999999999,20,0.5,0.7675744214939847,5.3554743606493584,0.9999999999979444,0.5768519374076277,0.9361154309817038,TRUE,TRUE,TRUE,3.7500358006202494e-4,TRUE,ok,4,0.1241815,0.10536275,0.14587250000000002,TRUE,0.9361154309817038,TRUE,TRUE,TRUE,TRUE,pass,2.436269995840606,29
561,13,2.5,0.08,0.035,0.05,0.02,0.45,0.129733267976837,0.0083353757238426,0.6753750919075729,0.045,10,1.5,0.7000073120191241,3.784018737554683,0.99999940745173,1.6451653119176628,0.9360756028721012,TRUE,TRUE,TRUE,8.779872302972988e-4,TRUE,ok,3,0.090834,0.0729075,0.1224535,TRUE,0.9360756028721012,TRUE,TRUE,TRUE,TRUE,pass,2.4362662983025727,30
549,11,2.5,0.08,0.03,0.05,0.02,0.45,0.129733267976837,0.0083353757238426,0.6754167687861922,0.0325,15,1.5,0.8113029964002761,6.972354292498281,1,1.6452218534424905,0.9360439729010878,TRUE,TRUE,TRUE,8.021901037637488e-4,TRUE,ok,4,0.125158,0.09684825,0.15811225,TRUE,0.9360439729010878,TRUE,TRUE,TRUE,TRUE,pass,2.4362462044873614,31
561,13,2.5,0.08,0.035,0.05,0.02,0.45,0.129733267976837,0.0083353757238426,0.6753750919075729,0.08249999999999999,20,1.5,0.7200410742989873,4.17084762579255,0.999999973162456,1.6443666469072926,0.936530768633686,TRUE,TRUE,TRUE,9.313130600406284e-4,TRUE,ok,4,0.1265065,0.1046065,0.15184975,TRUE,0.936530768633686,TRUE,TRUE,TRUE,TRUE,pass,2.4353559667794036,32
516,7,2.5,0.07,0.035,0.06,0.02,0.45,0.12973326797683704,0.00952614368439154,0.6753334150289537,0.0325,15,1.5,0.8113029964002764,7.968404905712333,1,1.6432363309431823,0.9371749948566882,TRUE,TRUE,TRUE,9.279224177285264e-4,TRUE,ok,4,0.1342475,0.10625475,0.16629025,TRUE,0.9371749948566882,TRUE,TRUE,TRUE,TRUE,pass,2.434746252070912,33
549,11,2.5,0.08,0.03,0.05,0.02,0.45,0.129733267976837,0.0083353757238426,0.6754167687861922,0.05749999999999999,15,0.5,0.7471555690383841,4.792024353166287,0.9999999998135536,0.5764293933287263,0.9368016380782052,TRUE,TRUE,TRUE,2.812838896896607e-4,TRUE,ok,4,0.12212,0.09776775,0.1505775,TRUE,0.9368016380782052,TRUE,TRUE,TRUE,TRUE,pass,2.434730874133127,34
537,9,2.5,0.08,0.025,0.05,0.02,0.45,0.12973326797683707,0.0083353757238426,0.6754584456648113,0.05749999999999999,15,1,0.7471555690383842,4.792024353166291,0.9999999998135536,1.1095843532355505,0.9372879103611288,TRUE,TRUE,TRUE,4.514634315464887e-4,TRUE,ok,4,0.1240045,0.097047,0.1557345,TRUE,0.9372879103611288,TRUE,TRUE,TRUE,TRUE,pass,2.433674975810041,35
516,7,2.5,0.07,0.035,0.06,0.02,0.45,0.12973326797683704,0.00952614368439154,0.6753334150289537,0.02,10,2.5,0.7497599965864213,5.552887127134718,0.9999999999995804,2.7084947791881864,0.9377902514400496,TRUE,TRUE,TRUE,0.00153046927832162,TRUE,ok,3,0.104868,0.085674,0.1383265,TRUE,0.9377902514400496,TRUE,TRUE,TRUE,TRUE,pass,2.4335157389041893,36
516,7,2.5,0.07,0.035,0.06,0.02,0.45,0.12973326797683704,0.00952614368439154,0.6753334150289537,0.095,20,2,0.6670039543639891,3.712296453758572,0.9999989582221378,2.175285883503966,0.9378068105504516,TRUE,TRUE,TRUE,9.552718339065416e-4,TRUE,ok,4,0.133952,0.11141075,0.159856,TRUE,0.9378068105504516,TRUE,TRUE,TRUE,TRUE,pass,2.4334826206833853,37
573,15,2.5,0.08,0.04,0.05,0.02,0.45,0.12973326797683704,0.0083353757238426,0.6753334150289537,0.05749999999999999,20,3,0.8091760696193299,6.876565197493313,1,3.2425902039976795,0.93752210694157,TRUE,TRUE,TRUE,0.00211113156588449,TRUE,ok,4,0.1281215,0.10431025,0.1554935,TRUE,0.93752210694157,TRUE,TRUE,TRUE,TRUE,pass,2.4334566439208736,38
504,6,2.5,0.07,0.03,0.06,0.02,0.45,0.12973326797683704,0.00952614368439154,0.6753810457473757,0.08249999999999999,20,2,0.7200410742989874,4.7666830009057755,0.9999999997738164,2.1750689082546164,0.9379013197262932,TRUE,TRUE,TRUE,0.00105359444717484,TRUE,ok,4,0.133953,0.11134325,0.16018274999999998,TRUE,0.9379013197262932,TRUE,TRUE,TRUE,TRUE,pass,2.433198340894858,39
561,13,2.5,0.08,0.035,0.05,0.02,0.45,0.129733267976837,0.0083353757238426,0.6753750919075729,0.02,10,2,0.7497599965864212,4.858776236242875,0.9999999998906964,2.1752897829981523,0.9378060871364492,TRUE,TRUE,TRUE,0.00123964773490085,TRUE,ok,3,0.090778,0.07234399999999999,0.123722,TRUE,0.9378060871364492,TRUE,TRUE,TRUE,TRUE,pass,2.4328053297738768,40
492,5,2.5,0.07,0.025,0.06,0.02,0.45,0.12973326797683704,0.00952614368439154,0.6754286764657976,0.0325,20,2,0.8748637875805725,12.95718778338679,1,2.1746067257830877,0.9381006578398148,TRUE,TRUE,TRUE,8.781209416881888e-4,TRUE,ok,4,0.1339545,0.11124975,0.160574,TRUE,0.9381006578398148,TRUE,TRUE,TRUE,TRUE,pass,2.432704403230971,41
492,5,2.5,0.07,0.025,0.06,0.02,0.45,0.12973326797683704,0.00952614368439154,0.6754286764657976,0.02,15,2.5,0.8383495730379544,9.61173103690475,1,2.707422706927173,0.9381615931273652,TRUE,TRUE,TRUE,0.0010933466626902,TRUE,ok,3,0.112212,0.0991485,0.1357915,TRUE,0.9381615931273652,TRUE,TRUE,TRUE,TRUE,pass,2.43258253265587,42
528,8,2.5,0.07,0.04,0.06,0.02,0.45,0.129733267976837,0.00952614368439154,0.6752857843105318,0.095,20,1.5,0.667003954363989,3.71229645375857,0.9999989582221378,1.6411349256988617,0.9383740564033228,TRUE,TRUE,TRUE,9.048939388251188e-4,TRUE,ok,4,0.133255,0.111634,0.15793775,TRUE,0.9383740564033228,TRUE,TRUE,TRUE,TRUE,pass,2.4324433904144867,43
549,11,2.5,0.08,0.03,0.05,0.02,0.45,0.129733267976837,0.0083353757238426,0.6754167687861922,0.05749999999999999,15,1,0.7471555690383841,4.792024353166287,0.9999999998135536,1.1087768031284215,0.9379705607830054,TRUE,TRUE,TRUE,5.417253704661715e-4,TRUE,ok,4,0.124003,0.09715275,0.15526525,TRUE,0.9379705607830054,TRUE,TRUE,TRUE,TRUE,pass,2.432393028723526,44
516,7,2.5,0.07,0.035,0.06,0.02,0.45,0.12973326797683704,0.00952614368439154,0.6753334150289537,0.045,15,3,0.7809137156371934,6.606039692287071,1,3.2390909282024953,0.9385349369265842,TRUE,TRUE,TRUE,0.0018317429544771,TRUE,ok,3,0.112195,0.0993515,0.136349,TRUE,0.9385349369265842,TRUE,TRUE,TRUE,TRUE,pass,2.43202636793112,45
492,5,2.5,0.07,0.025,0.06,0.02,0.45,0.12973326797683704,0.00952614368439154,0.6754286764657976,0.0325,10,2.5,0.7255842061040096,4.900405690098263,0.9999999999224,2.705553889740259,0.938809612862617,TRUE,TRUE,TRUE,0.0010933199097033,TRUE,ok,3,0.104868,0.085041,0.1383305,TRUE,0.938809612862617,TRUE,TRUE,TRUE,TRUE,pass,2.4312864931853664,46
573,15,2.5,0.08,0.04,0.05,0.02,0.45,0.12973326797683704,0.0083353757238426,0.6753334150289537,0.045,15,2,0.7809137156371934,5.780284730751188,0.9999999999999314,2.173253791825846,0.9386846615304736,TRUE,TRUE,TRUE,0.0014166803698135,TRUE,ok,4,0.126045,0.0968235,0.15947224999999998,TRUE,0.9386846615304736,TRUE,TRUE,TRUE,TRUE,pass,2.4311315347430664,47
504,6,2.5,0.07,0.03,0.06,0.02,0.45,0.12973326797683704,0.00952614368439154,0.6753810457473757,0.045,15,0.5,0.7809137156371934,6.606039692287071,1,0.575102864811197,0.938962458789488,TRUE,TRUE,TRUE,2.789128643076594e-4,TRUE,ok,4,0.131184,0.10707975,0.15915374999999998,TRUE,0.938962458789488,TRUE,TRUE,TRUE,TRUE,pass,2.4310760627684687,48
537,9,2.5,0.08,0.025,0.05,0.02,0.45,0.12973326797683707,0.0083353757238426,0.6754584456648113,0.06999999999999999,20,0.5,0.7675744214939849,5.355474360649366,0.9999999999979444,0.5753170072799549,0.938612961490643,TRUE,TRUE,TRUE,2.344206099392735e-4,TRUE,ok,4,0.1241845,0.1051335,0.14670625,TRUE,0.938612961490643,TRUE,TRUE,TRUE,TRUE,pass,2.4310248735510127,49
573,15,2.5,0.08,0.04,0.05,0.02,0.45,0.12973326797683704,0.0083353757238426,0.6753334150289537,0.0325,15,0.5,0.8113029964002764,6.972354292498292,1,0.5751397491432727,0.9389022421148656,TRUE,TRUE,TRUE,3.750036334137022e-4,TRUE,ok,4,0.122117,0.09795575,0.149914,TRUE,0.9389022421148656,TRUE,TRUE,TRUE,TRUE,pass,2.430696373574283,50
